COMPARISON	COMPARISON
COMPARISON:Concession	COMPARISON:Concession
COMPARISON:Contrast	COMPARISON:Contrast
CONTINGENCY:Cause	CONTINGENCY:Cause
CONTINGENCY:Cause:Reason	CONTINGENCY:Cause:Reason
CONTINGENCY:Cause:Result	CONTINGENCY:Cause:Result
CONTINGENCY:Condition	CONTINGENCY:Condition
EXPANSION	EXPANSION
EXPANSION:Conjunction	EXPANSION:Conjunction
EXPANSION:Disjunction	EXPANSION:Disjunction
EXPANSION:Equivalence	EXPANSION:Equivalence
EXPANSION:Exception	EXPANSION:Exception
EXPANSION:Instantiation	EXPANSION:Instantiation
EXPANSION:Level-of-detail	EXPANSION:Level-of-detail
EXPANSION:Level-of-detail:Arg1-as-detail	EXPANSION:Level-of-detail:Arg1-as-detail
EXPANSION:Substitution	EXPANSION:Substitution
TEMPORAL:Asynchronous	TEMPORAL:Asynchronous
TEMPORAL:Asynchronous:Precedence	TEMPORAL:Asynchronous:Precedence
TEMPORAL:Asynchronous:Succession	TEMPORAL:Asynchronous:Succession
TEMPORAL:Synchronous	TEMPORAL:Synchronous
