# global.columns = word lang pdtb1 pdtb2 pdtb3
Am Ende der Übung	de	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Dadurch	de	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg1-as-manner	
Darauf gibt es so viele Antworten wie Menschen , die dieses Leben führen , aber Herumreisende antworten oft mit einem Wort	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Darum ... weil	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Der Grund ... waren	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Die Antwort ist ganz einfach	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
Die Jahre sind vergangen	de	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	
Durch	de	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg2-as-manner	
Ein Beispiel geht uns besonders zu Herzen	de	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Eines der anschaulichsten Beispiele ist	de	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Es ist wie	de	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Ganz gleich	de	COMPARISON	COMPARISON:Concession	COMPARISON:Concession:Arg2-as-denier	
Ich meine	de	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
In diesem Moment	de	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Insbesondere wenn	de	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Kurz gesagt	de	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	
Nachdem	de	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	
Schlussendlich	de	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Sie kennen das alle	de	EXPANSION	EXPANSION:Equivalence	EXPANSION:Equivalence	
Um ... zu	de	CONTINGENCY	CONTINGENCY:Purpose	CONTINGENCY:Purpose:Arg2-as-goal	
Und deshalb	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Und sogar	de	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
Vielmehr	de	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Warum	de	Hypophora	Hypophora	Hypophora	
Was	de	Hypophora	Hypophora	Hypophora	
Wie oft	de	Hypophora	Hypophora	Hypophora	
Wie viele	de	Hypophora	Hypophora	Hypophora	
Zack	de	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
Zugegeben	de	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
in dieser Zeit	de	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
mit anderen Worten	de	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	

