absolutely	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.7942460775375366	# inferred from indeed, yet, otherwise
accordingly	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
actually	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9451425075531006	# inferred from so, but
additionally	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
admittedly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.528336763381958	# inferred from nonetheless, otherwise
afterward	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
again	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.9636514782905579	# inferred from finally, then, but, later, in the end, next, however
already	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.9274515509605408	# inferred from still, though, but, although, yet, on the other hand, however, previously
also	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
also	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
also	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
alternately	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.5838769674301147	# inferred from similarly
alternatively	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	1.0
although	en	COMPARISON	COMPARISON	COMPARISON	1.0
although	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
although	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
although	en	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	1.0
altogether	en	EXPANSION	EXPANSION:Disjunction	EXPANSION:Disjunction	0.75328129529953	# inferred from otherwise, instead
amazingly	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	0.5549497008323669	# inferred from similarly
and	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
and	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
and	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
and	en	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition	1.0
and	en	EXPANSION	EXPANSION	EXPANSION	1.0
and	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
and	en	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	1.0
and	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
and	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg1-as-detail	1.0
and	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
anyway	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.8698139786720276	# inferred from so, but
apparently	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8210716247558594	# inferred from but, though, still, yet, although, however, on the other hand, on the contrary
arguably	en	COMPARISON	COMPARISON	COMPARISON	0.6236839890480042	# inferred from yet, indeed, nonetheless, though
as a result	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
basically	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	0.8324436545372009	# inferred from rather, still, yet
because of that	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9512403011322021	# inferred from as a result
because of this	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9660096764564514	# inferred from as a result
besides	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
besides	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
but	en	COMPARISON	COMPARISON	COMPARISON	1.0
but	en	COMPARISON	COMPARISON:Concession	COMPARISON:Concession	1.0
but	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
but	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	1.0
but	en	EXPANSION	EXPANSION	EXPANSION	1.0
but	en	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	1.0
but	en	EXPANSION	EXPANSION:Exception	EXPANSION:Exception	1.0
but	en	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail	1.0
but	en	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution	1.0
but	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
by comparison	en	COMPARISON	COMPARISON	COMPARISON	1.0
by comparison	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
by contrast	en	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	1.0
by doing this	en	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	0.9466925859451294	# inferred from but, as a result
by then	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Precedence	1.0
by then	en	TEMPORAL	TEMPORAL:Asynchronous	TEMPORAL:Asynchronous:Succession	1.0
by then	en	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	1.0
