# global.columns = word lang pdtb1 pdtb2 pdtb3
. Ve bu y	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
? CalPERS, diğe	tr	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
Bunun hak	tr	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
Hem	tr	EXPANSION	EXPANSION:Substitution	EXPANSION:Substitution:Arg1-as-subst	
NONE	tr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
Peki	tr	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg1-as-manner	
Peki,	tr	Hypophora	Hypophora	Hypophora	
T	tr	COMPARISON	COMPARISON:Similarity	COMPARISON:Similarity	
Yapra	tr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
alışmaz. Bun	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
ar. Gün b	tr	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
du? Pek	tr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
emek. Yapabili	tr	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
erekiyor. Ancak	tr	EXPANSION	EXPANSION:Manner	EXPANSION:Manner:Arg2-as-manner	
götürebilir. Bunun en etkili örnek	tr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
i, Boston'da	tr	CONTINGENCY	CONTINGENCY:Condition	CONTINGENCY:Condition:Arg2-as-cond	
r) Se	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
r. Us	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Reason	
rdim. A	tr	EXPANSION	EXPANSION:Level-of-detail	EXPANSION:Level-of-detail:Arg2-as-detail	
s Baldwin'	tr	TEMPORAL	TEMPORAL:Synchronous	TEMPORAL:Synchronous	
sünüz. Bir ... ndedir bir tar	tr	COMPARISON	COMPARISON:Contrast	COMPARISON:Contrast	
sürdü. Antrenmanın	tr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
tti. As	tr	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	
tıyor. Dol	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
zegen. Bu	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
örüyor. Gördüğü	tr	CONTINGENCY	CONTINGENCY:Cause	CONTINGENCY:Cause:Result	
ğil mi? Devam	tr	EXPANSION	EXPANSION:Conjunction	EXPANSION:Conjunction	
ıyorlar? Bir örnek bizim için ço	tr	EXPANSION	EXPANSION:Instantiation	EXPANSION:Instantiation	

